"214","2015-01-12 10:00:00","2015-01-13 16:00:00"
"217","2015-01-14 10:00:00","2015-01-14 12:00:00"
"220","2015-01-14 15:00:00","2015-01-15 10:00:00"
"218","2015-01-15 10:00:00","2015-01-15 12:00:00"
"221","2015-01-15 14:00:00","2015-01-16 10:00:00"
"219","2015-01-16 16:00:00","2015-01-19 10:00:00"
"222","2015-01-19 13:00:00","2015-01-19 16:00:00"
"224","2015-01-23 11:00:00","2015-01-23 12:00:00"
"223","2015-01-23 16:00:00","2015-01-26 10:00:00"
"225","2015-01-26 13:00:00","2015-01-26 15:00:00"
"215","2015-01-28 09:00:00","2015-01-29 16:00:00"
"228","2015-02-06 12:00:00","2015-02-09 12:00:00"
"231","2015-02-11 12:52:00","2015-02-11 12:52:00"
"230","2015-02-12 12:00:00","2015-02-12 16:00:00"
"233","2015-02-12 16:00:00","2015-02-16 13:00:00"
"232","2015-02-16 13:00:00","2015-02-16 17:00:00"
"235","2015-02-19 15:00:00","2015-02-23 00:00:00"
"142","2015-02-23 00:00:00","2015-03-11 23:59:00"
"237","2015-03-12 08:00:00","2015-03-12 18:00:00"
"238","2015-03-13 09:00:00","2015-03-13 12:00:00"
"236","2015-03-13 12:00:00","2015-03-16 09:00:00"
"143","2015-03-16 12:30:00","2015-03-23 23:00:00"
"240","2015-03-24 13:00:00","2015-03-24 14:30:00"
"241","2015-03-24 15:30:00","2015-03-24 16:00:00"
"245","2015-03-26 15:00:00","2015-03-26 16:00:00"
"246","2015-03-26 16:00:00","2015-03-27 08:00:00"
"244","2015-03-27 14:00:00","2015-03-30 08:00:00"
"248","2015-03-30 08:00:00","2015-03-30 16:00:00"
"251","2015-04-02 11:30:00","2015-04-02 14:00:00"
"252","2015-04-02 14:00:00","2015-04-07 08:00:00"
"253","2015-04-07 08:00:00","2015-04-07 16:00:00"
"254","2015-04-08 09:00:00","2015-04-08 13:00:00"
"257","2015-04-09 14:00:00","2015-04-09 16:00:00"
"258","2015-04-09 16:00:00","2015-04-10 12:00:00"
"247","2015-04-10 13:30:00","2015-04-13 08:00:00"
"255","2015-04-13 10:00:00","2015-04-14 16:00:00"
"260","2015-04-14 16:00:00","2015-04-15 10:00:00"
"263","2015-04-15 10:00:00","2015-04-15 15:00:00"
"264","2015-04-15 16:00:00","2015-04-16 09:00:00"
"266","2015-04-16 10:00:00","2015-04-16 15:00:00"
"269","2015-04-16 15:00:00","2015-04-17 09:00:00"
"256","2015-04-17 09:30:00","2015-04-17 14:00:00"
"261","2015-04-17 14:00:00","2015-04-20 09:00:00"
"259","2015-04-20 15:00:00","2015-04-21 08:00:00"
"271","2015-04-21 08:00:00","2015-04-21 10:00:00"
"274","2015-04-21 10:00:00","2015-04-21 15:30:00"
"273","2015-04-21 15:45:00","2015-04-22 15:45:00"
"280","2015-04-23 15:00:00","2015-04-24 08:00:00"
"277","2015-04-24 08:00:00","2015-04-24 12:00:00"
"239","2015-04-24 12:00:00","2015-04-27 10:00:00"
